episode_number,user_id,episode_id,source,created_at,updated_at,tv_show_name,episode_season_number
11,21667900,4692035,season-detail,2018-11-01 11:30:37,2018-11-01 11:30:37,The Fosters (2013),1
12,21667900,4692036,season-detail,2018-11-01 16:34:23,2018-11-01 16:34:23,The Fosters (2013),1
13,21667900,4692037,season-detail,2018-11-02 04:27:55,2018-11-02 04:27:55,The Fosters (2013),1
14,21667900,4692038,season-detail,2018-11-02 05:23:40,2018-11-02 05:23:40,The Fosters (2013),1
15,21667900,4692039,season-detail,2018-11-02 09:36:25,2018-11-02 09:36:25,The Fosters (2013),1
16,21667900,4692040,season-detail,2018-11-02 09:36:27,2018-11-02 09:36:27,The Fosters (2013),1
17,21667900,4692041,season-detail,2018-11-02 10:42:37,2018-11-02 10:42:37,The Fosters (2013),1
18,21667900,4692042,season-detail,2018-11-02 11:42:17,2018-11-02 11:42:17,The Fosters (2013),1
19,21667900,4692043,season-detail,2018-11-02 12:39:16,2018-11-02 12:39:16,The Fosters (2013),1
20,21667900,4692044,season-detail,2018-11-03 05:06:19,2018-11-03 05:06:19,The Fosters (2013),1
7,21667900,4694734,season-detail,2018-08-16 04:17:52,2018-08-16 04:17:52,The Originals,1
8,21667900,4707558,season-detail,2018-08-16 04:55:51,2018-08-16 04:55:51,The Originals,1
9,21667900,4710194,season-detail,2018-08-16 05:45:20,2018-08-16 05:45:20,The Originals,1
10,21667900,4724119,season-detail,2018-08-16 07:35:40,2018-08-16 07:35:40,The Originals,1
11,21667900,4724120,season-detail,2018-08-16 09:09:08,2018-08-16 09:09:08,The Originals,1
2,21667900,4735398,season-detail,2018-09-13 09:26:56,2018-09-13 09:26:56,The 100,1
3,21667900,4735399,season-detail,2018-09-13 10:12:45,2018-09-13 10:12:45,The 100,1
4,21667900,4740979,season-detail,2018-09-13 13:24:22,2018-09-13 13:24:22,The 100,1
5,21667900,4740980,season-detail,2018-09-13 13:24:24,2018-09-13 13:24:24,The 100,1
1,21667900,4743867,season-detail,2018-07-16 12:35:53,2018-07-16 12:35:53,Vikings,2
12,21667900,4743974,season-detail,2018-08-17 08:06:30,2018-08-17 08:06:30,The Originals,1
1,21667900,4762752,season-detail,2018-07-09 01:18:46,2018-07-09 01:18:46,Black Sails,1
2,21667900,4762756,season-detail,2018-07-09 10:11:25,2018-07-09 10:11:25,Black Sails,1
13,21667900,4763537,season-detail,2018-08-17 08:06:31,2018-08-17 08:06:31,The Originals,1
