user_id,tv_show_id,episode_id,created_at,updated_at,tv_show_name
21667900,336079,6542369,2021-04-03 02:54:16,2021-04-03 02:54:16,Collateral
21667900,336261,7347099,2020-04-21 06:16:29,2020-04-21 06:16:29,Tom Clancy's Jack Ryan
21667900,336522,7395719,2019-11-06 05:57:12,2019-11-06 05:57:12,The End of the F***ing World
21667900,336924,10920390,2023-03-11 04:49:11,2025-04-30 19:43:15,You
21667900,337017,6510565,2020-09-08 06:40:36,2020-09-08 06:40:36,DARLING in the FRANXX
21667900,337302,6394056,2018-06-27 16:40:24,2018-06-27 16:40:24,Counterpart
21667900,338186,9543958,2023-06-18 00:22:55,2023-06-18 00:22:55,Succession
21667900,338946,6492996,2018-07-30 10:24:26,2018-07-30 10:24:26,Patrick Melrose
21667900,338947,6762374,2018-11-18 09:25:50,2018-11-18 09:25:50,Chilling Adventures of Sabrina
21667900,340959,7673418,2020-04-29 12:38:06,2020-04-29 12:38:06,Killing Eve
21667900,341871,6548894,2022-07-06 03:28:15,2022-07-06 03:28:15,My Mister
21667900,342849,6619800,2022-06-26 15:57:55,2022-06-26 15:57:55,Something in the Rain
21667900,343435,6751988,2018-09-21 07:30:31,2018-09-21 07:30:31,Sacred Games
21667900,344141,6765388,2019-01-07 10:55:33,2019-01-07 10:55:33,The Little Drummer Girl
21667900,344626,7479250,2020-04-22 11:23:18,2020-04-22 11:23:18,My Brilliant Friend
21667900,345246,7968847,2018-10-29 16:40:44,2026-01-06 06:15:57,The Haunting
21667900,345596,6895534,2020-08-23 16:46:35,2020-08-23 16:46:35,Rascal Does Not Dream of Bunny Girl Senpai
21667900,346602,6833043,2018-10-08 07:32:00,2018-10-08 07:32:00,Sharp Objects
21667900,347246,6679247,2022-07-14 18:52:33,2022-07-14 18:52:33,Hymn of Death
21667900,347648,6691369,2018-12-03 07:06:36,2018-12-03 07:06:36,Nightflyers
21667900,348443,6711743,2019-11-26 05:52:26,2019-11-26 05:52:26,Gentleman Jack
21667900,348545,8747424,2021-11-01 07:36:34,2021-11-01 07:36:34,Demon Slayer: Kimetsu no Yaiba
21667900,349078,6727460,2019-06-21 12:55:32,2019-06-21 12:55:32,
21667900,349309,6772359,2018-11-03 09:27:38,2018-11-03 09:27:38,Legacies
21667900,349310,6733513,2018-12-08 16:28:42,2018-12-08 16:28:42,Bodyguard (2018)
21667900,349512,6756799,2022-07-28 15:30:57,2022-07-28 15:30:57,Familiar Wife
21667900,349738,6770149,2019-01-01 10:41:14,2019-01-01 10:41:14,Escape at Dannemora
21667900,350123,6827112,2018-09-26 10:44:07,2018-09-26 10:44:07,The Dragon Prince
21667900,350553,6843164,2018-11-17 12:25:56,2018-11-17 12:25:56,Homecoming (2018)
21667900,350864,6775602,2018-09-24 13:50:37,2018-09-24 13:50:37,Maniac (2018)
21667900,351291,6828304,2018-11-24 05:34:37,2018-11-24 05:34:37,A Discovery of Witches
21667900,351721,6797918,2020-08-25 08:00:25,2020-08-25 08:00:25,The Guernsey - Literary and Potato Peel Pie Society
21667900,351911,7899818,2020-10-02 05:35:47,2020-10-02 05:35:47,Baby
21667900,352440,8015548,2021-02-27 10:29:20,2021-02-27 10:29:20,A Teacher
21667900,354256,6866376,2019-06-10 16:54:24,2019-06-10 16:54:24,Les Misérables (2018)
21667900,355229,7080482,2020-11-24 05:17:21,2020-11-24 05:17:21,Our Planet (2019)
21667900,355567,8932006,2022-07-13 15:37:51,2022-07-13 15:37:51,The Boys
21667900,355730,8668402,2021-12-16 21:22:18,2021-12-16 21:22:18,The Wheel of Time
21667900,355774,7366897,2021-02-07 09:20:47,2021-02-07 09:20:47,Dr. STONE
21667900,356317,9882281,2023-09-24 00:36:18,2023-09-24 00:36:18,Sex Education
