episode_number,user_id,episode_id,watched_on_source_id,created_at,updated_at,tv_show_name,episode_season_number
7,21667900,5388444,1,2018-12-10 09:27:42,2018-12-10 09:27:42,The Man in the High Castle,1
8,21667900,5388445,1,2018-12-10 12:44:16,2018-12-10 12:44:16,The Man in the High Castle,1
1,21667900,5391641,1,2018-11-24 09:01:26,2018-11-24 09:01:26,Victoria,1
1,21667900,5440797,1,2019-05-30 05:04:53,2019-05-30 05:04:53,House of Cards (US),4
2,21667900,5440798,1,2019-05-30 10:20:34,2019-05-30 10:20:34,House of Cards (US),4
3,21667900,5440802,1,2019-05-30 11:25:10,2019-05-30 11:25:10,House of Cards (US),4
4,21667900,5440804,1,2019-05-30 16:17:33,2019-05-30 16:17:33,House of Cards (US),4
5,21667900,5440806,1,2019-05-31 03:38:42,2019-05-31 03:38:42,House of Cards (US),4
6,21667900,5440807,1,2019-05-31 04:28:45,2019-05-31 04:28:45,House of Cards (US),4
7,21667900,5440808,1,2019-05-31 09:20:01,2019-05-31 09:20:01,House of Cards (US),4
8,21667900,5440809,1,2019-05-31 10:14:59,2019-05-31 10:14:59,House of Cards (US),4
9,21667900,5440812,1,2019-05-31 11:31:52,2019-05-31 11:31:52,House of Cards (US),4
10,21667900,5440813,1,2019-05-31 12:30:54,2019-05-31 12:30:54,House of Cards (US),4
11,21667900,5440814,1,2019-06-02 09:38:45,2019-06-02 09:38:45,House of Cards (US),4
12,21667900,5440815,1,2019-06-02 10:43:43,2019-06-02 10:43:43,House of Cards (US),4
13,21667900,5440817,1,2019-06-02 16:26:43,2019-06-02 16:26:43,House of Cards (US),4
2,21667900,5444137,1,2020-04-22 13:51:28,2020-04-22 13:51:28,Quarry,1
3,21667900,5444138,1,2020-04-23 05:05:28,2020-04-23 05:05:28,Quarry,1
4,21667900,5444139,1,2020-04-23 05:05:41,2020-04-23 05:05:41,Quarry,1
5,21667900,5444140,1,2020-04-23 08:41:46,2020-04-23 08:41:46,Quarry,1
6,21667900,5444141,1,2020-04-23 11:18:51,2020-04-23 11:18:51,Quarry,1
7,21667900,5444142,1,2020-04-23 12:24:06,2020-04-23 12:24:06,Quarry,1
4,21667900,5465991,3,2020-08-31 07:04:24,2020-08-31 07:04:24,Erased,1
12,21667900,5468811,1,2020-08-31 17:16:24,2020-08-31 17:16:24,Erased,1
6,21667900,5538565,1,2024-05-08 20:29:42,2024-05-08 20:29:42,Better Call Saul,2
1,21667900,5577096,1,2018-12-11 06:15:55,2018-12-11 06:15:55,The Man in the High Castle,2
5,21667900,5600132,1,2018-07-10 16:22:05,2018-07-10 16:22:05,Game of Thrones,6
9,21667900,5624260,1,2018-07-10 16:21:52,2018-07-10 16:21:52,Game of Thrones,6
10,21667900,5624261,1,2018-07-10 16:22:25,2018-07-10 16:22:25,Game of Thrones,6
1,21667900,5648788,1,2019-06-11 03:44:30,2019-06-11 03:44:30,The Good Place,1
2,21667900,5649281,1,2019-06-11 03:45:21,2019-06-11 03:45:21,The Good Place,1
3,21667900,5649282,1,2019-06-11 04:10:53,2019-06-11 04:10:53,The Good Place,1
1,21667900,5671265,1,2018-12-25 05:08:27,2018-12-25 05:08:27,Poldark (2015),2
2,21667900,5714320,1,2018-11-24 09:53:25,2018-11-24 09:53:25,Victoria,1
8,21667900,5722836,1,2018-12-13 05:44:54,2018-12-13 05:44:54,The Man in the High Castle,2
9,21667900,5722837,1,2018-12-14 05:08:31,2018-12-14 05:08:31,The Man in the High Castle,2
4,21667900,5738213,1,2019-06-11 04:34:42,2019-06-11 04:34:42,The Good Place,1
5,21667900,5738214,1,2019-06-11 05:45:02,2019-06-11 05:45:02,The Good Place,1
2,21667900,5738937,1,2018-12-25 06:14:46,2018-12-25 06:14:46,Poldark (2015),2
3,21667900,5738938,1,2018-12-25 09:55:25,2018-12-25 09:55:25,Poldark (2015),2
