season_number,episode_number,episode_id,user_id,uuid,vote_key,series_name
2,2,5315387,21667900,d371a282-7a8e-4c5e-b59b-86f18c249fda,5315387-21667900-29,The Knick
2,3,5315388,21667900,27b8b74d-bbd7-46cb-9923-5aa4a0dc4ebe,5315388-21667900-29,The Knick
2,4,5315389,21667900,196224eb-5525-43cf-915b-740dfe3d2921,5315389-21667900-3,The Knick
2,4,5315389,21667900,196224eb-5525-43cf-915b-740dfe3d2921,5315389-21667900-29,The Knick
2,5,5315390,21667900,a3c805a5-7561-439e-8385-91f40c6d89f9,5315390-21667900-29,The Knick
2,7,5315392,21667900,e561a556-bf3c-4b99-9d66-47174d9a8170,5315392-21667900-29,The Knick
2,8,5315393,21667900,246f5771-4dff-41d4-8b18-7de04a2ff07d,5315393-21667900-3,The Knick
2,9,5315394,21667900,b2833e52-8edd-491e-ad2a-dbb7a484cc87,5315394-21667900-3,The Knick
2,10,5315395,21667900,f0fbf11e-e9c8-4ae1-9b24-8ddaf0c6b8cc,5315395-21667900-3,The Knick
1,7,5388444,21667900,5878b442-9e14-4b3a-b982-35dabeceb146,5388444-21667900-19,The Man in the High Castle
1,1,5411660,21667900,91948f2f-461a-468d-8e7b-e087870e03d7,5411660-21667900-5,Making a Murderer
1,2,5434009,21667900,aad8efc2-b0b2-4b17-a4be-0a21ddb2ece7,5434009-21667900-3,Making a Murderer
1,2,5444137,21667900,26f3d5f8-d3cd-4a84-9277-9de260d9dcce,5444137-21667900-3,Quarry
1,3,5444138,21667900,f5523303-b734-404e-90f2-4ccf9bcf44c9,5444138-21667900-3,Quarry
1,4,5444139,21667900,df87c986-d492-4e0d-ba99-0862c960a824,5444139-21667900-3,Quarry
1,5,5444140,21667900,fbfd77e4-6b57-4ec3-a478-cd2e22502601,5444140-21667900-3,Quarry
1,6,5444141,21667900,f7dd98a9-ea7b-44d4-8166-0ba3f5d15ad8,5444141-21667900-3,Quarry
1,7,5444142,21667900,96fdbac4-4441-4497-97d0-256a2f278546,5444142-21667900-3,Quarry
1,4,5465991,21667900,a127cbb4-40d6-42ba-bf36-562d94d8d6d1,5465991-21667900-3,Erased
1,6,5465993,21667900,c24f5096-6270-4c77-93b8-4afa74563d0b,5465993-21667900-3,Erased
1,7,5468806,21667900,84a528e1-b3c5-4859-b6c3-0564042901d4,5468806-21667900-3,Erased
1,2,5481550,21667900,c9660006-5851-48fc-bd38-92ee5eb6a8d2,5481550-21667900-3,The Night Manager
1,4,5481552,21667900,9a627631-f79c-44c8-9d04-3311c348d445,5481552-21667900-3,The Night Manager
1,1,5541668,21667900,de3b0963-6840-45c3-9f2c-6048119085ee,5541668-21667900-3,The Story of God with Morgan Freeman
1,1,5541668,21667900,de3b0963-6840-45c3-9f2c-6048119085ee,5541668-21667900-5,The Story of God with Morgan Freeman
1,2,5563916,21667900,c9062890-c64a-4c4d-be09-c7f4da71234e,5563916-21667900-5,The Story of God with Morgan Freeman
1,2,5648842,21667900,de966a56-e558-4b4b-bcf1-a4356ec6a945,5648842-21667900-3,The Night Of
1,4,5648844,21667900,21bc4cd0-ca7c-42b1-8eb3-b07ec44c2e5c,5648844-21667900-3,The Night Of
1,2,5649281,21667900,2994d7ad-b771-4e57-9a85-a765586a5ac5,5649281-21667900-5,The Good Place
1,2,5649281,21667900,2994d7ad-b771-4e57-9a85-a765586a5ac5,5649281-21667900-29,The Good Place
1,6,5657623,21667900,ba78d8c6-643d-48e4-90df-33cce20a4458,5657623-21667900-3,The Night Of
1,6,5657623,21667900,ba78d8c6-643d-48e4-90df-33cce20a4458,5657623-21667900-29,The Night Of
1,7,5657624,21667900,5de024a4-5a7a-422f-bd05-75ee0fe6d475,5657624-21667900-3,The Night Of
2,1,5671265,21667900,3b71d5d3-97ee-4c3c-bbe0-629feae51986,5671265-21667900-20,Poldark (2015)
3,1,5692427,21667900,fb8239e5-1704-49f8-9078-14323ea6ad8c,5692427-21667900-3,Black Mirror
3,2,5692430,21667900,d7554a7e-3fac-45ce-af67-366a9431dd5f,5692430-21667900-3,Black Mirror
2,5,5722833,21667900,5192f9aa-90c0-4ff5-944d-b346b3993a78,5722833-21667900-20,The Man in the High Castle
2,10,5722838,21667900,7de376c6-8393-472d-ad34-7f875391a3cf,5722838-21667900-20,The Man in the High Castle
2,3,5738938,21667900,f2a8583f-ba18-4b11-9829-593b7d077805,5738938-21667900-19,Poldark (2015)
2,4,5738939,21667900,aa55199a-383c-4c55-ba6c-805bc7cb1fbe,5738939-21667900-20,Poldark (2015)
2,5,5738940,21667900,238a7363-ecfc-4de3-a334-f5ca2ea73818,5738940-21667900-20,Poldark (2015)
2,6,5738941,21667900,0c8d555a-02b4-498b-9ef0-1c82043c3bb6,5738941-21667900-19,Poldark (2015)
2,7,5738942,21667900,68b171ef-8694-4503-baef-6aeca0e20cbd,5738942-21667900-20,Poldark (2015)
2,8,5738943,21667900,62bed206-ba6e-4ab0-b826-7f6512301159,5738943-21667900-20,Poldark (2015)
2,9,5738944,21667900,dad0d3b3-5f75-4005-a422-288d4b9aec2d,5738944-21667900-20,Poldark (2015)
