episode_id,emotion_id,created_at,updated_at,tv_show_name,episode_season_number,episode_number,user_id
5722835,3,2018-12-13 04:43:14,2018-12-13 04:43:14,The Man in the High Castle,2,7,21667900
5722836,3,2018-12-13 05:44:47,2018-12-13 05:44:47,The Man in the High Castle,2,8,21667900
5722837,3,2018-12-14 05:08:29,2018-12-14 05:08:29,The Man in the High Castle,2,9,21667900
5722838,3,2018-12-14 06:19:30,2018-12-14 06:19:30,The Man in the High Castle,2,10,21667900
5738937,3,2018-12-25 06:14:38,2018-12-25 06:14:38,Poldark (2015),2,2,21667900
5738938,1,2018-12-25 09:55:10,2018-12-25 09:55:10,Poldark (2015),2,3,21667900
5738939,3,2018-12-25 11:11:14,2018-12-25 11:11:14,Poldark (2015),2,4,21667900
5738940,3,2018-12-25 16:30:22,2018-12-25 16:30:22,Poldark (2015),2,5,21667900
5738941,1,2018-12-26 05:53:51,2018-12-26 05:53:51,Poldark (2015),2,6,21667900
5738942,3,2018-12-26 09:16:04,2018-12-26 09:16:04,Poldark (2015),2,7,21667900
5738943,3,2018-12-26 11:22:58,2018-12-26 11:22:58,Poldark (2015),2,8,21667900
5738944,3,2018-12-26 16:31:11,2018-12-26 16:31:11,Poldark (2015),2,9,21667900
