vote_key,episode_id,user_id,series_name,season_number,episode_number
4930441-21667900-30,4930441,21667900,The Knick,1,10
4930441-21667900-24,4930441,21667900,The Knick,1,10
4930441-21667900-15,4930441,21667900,The Knick,1,10
5013326-21667900-30,5013326,21667900,Your Lie in April,1,2
5013326-21667900-19,5013326,21667900,Your Lie in April,1,2
5013326-21667900-15,5013326,21667900,Your Lie in April,1,2
5013610-21667900-15,5013610,21667900,Your Lie in April,1,22
5013610-21667900-30,5013610,21667900,Your Lie in April,1,22
5028306-21667900-37,5028306,21667900,The Seven Deadly Sins,1,8
5028306-21667900-30,5028306,21667900,The Seven Deadly Sins,1,8
5028306-21667900-32,5028306,21667900,The Seven Deadly Sins,1,8
5054192-21667900-13,5054192,21667900,Better Call Saul,1,2
5054192-21667900-15,5054192,21667900,Better Call Saul,1,2
5054192-21667900-30,5054192,21667900,Better Call Saul,1,2
5054192-21667900-25,5054192,21667900,Better Call Saul,1,2
5054193-21667900-13,5054193,21667900,Better Call Saul,1,3
5054193-21667900-25,5054193,21667900,Better Call Saul,1,3
5114293-21667900-13,5114293,21667900,Better Call Saul,1,4
5114293-21667900-25,5114293,21667900,Better Call Saul,1,4
5114294-21667900-13,5114294,21667900,Better Call Saul,1,5
5126774-21667900-30,5126774,21667900,Better Call Saul,1,6
5126774-21667900-24,5126774,21667900,Better Call Saul,1,6
5126774-21667900-28,5126774,21667900,Better Call Saul,1,6
5126774-21667900-15,5126774,21667900,Better Call Saul,1,6
5126775-21667900-30,5126775,21667900,Better Call Saul,1,7
5126775-21667900-13,5126775,21667900,Better Call Saul,1,7
5126775-21667900-15,5126775,21667900,Better Call Saul,1,7
5126776-21667900-25,5126776,21667900,Better Call Saul,1,8
5126776-21667900-13,5126776,21667900,Better Call Saul,1,8
5126777-21667900-24,5126777,21667900,Better Call Saul,1,9
5126777-21667900-15,5126777,21667900,Better Call Saul,1,9
5126777-21667900-28,5126777,21667900,Better Call Saul,1,9
5126777-21667900-30,5126777,21667900,Better Call Saul,1,9
5256066-21667900-28,5256066,21667900,The Leftovers,2,1
5256066-21667900-38,5256066,21667900,The Leftovers,2,1
5295146-21667900-13,5295146,21667900,The Knick,2,1
5295146-21667900-25,5295146,21667900,The Knick,2,1
5300871-21667900-28,5300871,21667900,Fargo,2,1
5300871-21667900-24,5300871,21667900,Fargo,2,1
5300871-21667900-25,5300871,21667900,Fargo,2,1
5315387-21667900-28,5315387,21667900,The Knick,2,2
5315387-21667900-30,5315387,21667900,The Knick,2,2
5315387-21667900-25,5315387,21667900,The Knick,2,2
5315387-21667900-15,5315387,21667900,The Knick,2,2
5315387-21667900-24,5315387,21667900,The Knick,2,2
5315388-21667900-13,5315388,21667900,The Knick,2,3
5315388-21667900-25,5315388,21667900,The Knick,2,3
5315389-21667900-25,5315389,21667900,The Knick,2,4
5315390-21667900-25,5315390,21667900,The Knick,2,5
5315390-21667900-13,5315390,21667900,The Knick,2,5
5315391-21667900-13,5315391,21667900,The Knick,2,6
5315392-21667900-23,5315392,21667900,The Knick,2,7
5315392-21667900-29,5315392,21667900,The Knick,2,7
5315393-21667900-28,5315393,21667900,The Knick,2,8
5315393-21667900-24,5315393,21667900,The Knick,2,8
5315393-21667900-30,5315393,21667900,The Knick,2,8
5315393-21667900-15,5315393,21667900,The Knick,2,8
5315394-21667900-30,5315394,21667900,The Knick,2,9
5315394-21667900-28,5315394,21667900,The Knick,2,9
5315394-21667900-24,5315394,21667900,The Knick,2,9
5315394-21667900-15,5315394,21667900,The Knick,2,9
5315395-21667900-28,5315395,21667900,The Knick,2,10
5315395-21667900-15,5315395,21667900,The Knick,2,10
5315395-21667900-30,5315395,21667900,The Knick,2,10
5315395-21667900-24,5315395,21667900,The Knick,2,10
5343365-21667900-24,5343365,21667900,Fargo,2,2
5343365-21667900-25,5343365,21667900,Fargo,2,2
5343365-21667900-28,5343365,21667900,Fargo,2,2
5344820-21667900-25,5344820,21667900,Fargo,2,3
5344820-21667900-24,5344820,21667900,Fargo,2,3
5344820-21667900-28,5344820,21667900,Fargo,2,3
5364427-21667900-25,5364427,21667900,The Night Manager,1,1
5364427-21667900-13,5364427,21667900,The Night Manager,1,1
5411660-21667900-22,5411660,21667900,Making a Murderer,1,1
5411660-21667900-34,5411660,21667900,Making a Murderer,1,1
5427452-21667900-33,5427452,21667900,Better Call Saul,2,1
5427452-21667900-28,5427452,21667900,Better Call Saul,2,1
5434009-21667900-28,5434009,21667900,Making a Murderer,1,2
5434009-21667900-24,5434009,21667900,Making a Murderer,1,2
5444137-21667900-19,5444137,21667900,Quarry,1,2
5444137-21667900-30,5444137,21667900,Quarry,1,2
5444137-21667900-28,5444137,21667900,Quarry,1,2
5444137-21667900-18,5444137,21667900,Quarry,1,2
5444137-21667900-15,5444137,21667900,Quarry,1,2
5444138-21667900-19,5444138,21667900,Quarry,1,3
5444138-21667900-28,5444138,21667900,Quarry,1,3
5444138-21667900-18,5444138,21667900,Quarry,1,3
5444139-21667900-19,5444139,21667900,Quarry,1,4
5444139-21667900-18,5444139,21667900,Quarry,1,4
5444139-21667900-15,5444139,21667900,Quarry,1,4
5444139-21667900-30,5444139,21667900,Quarry,1,4
5444139-21667900-28,5444139,21667900,Quarry,1,4
5444140-21667900-28,5444140,21667900,Quarry,1,5
5444140-21667900-19,5444140,21667900,Quarry,1,5
5444140-21667900-18,5444140,21667900,Quarry,1,5
5444141-21667900-13,5444141,21667900,Quarry,1,6
5444141-21667900-18,5444141,21667900,Quarry,1,6
5444141-21667900-19,5444141,21667900,Quarry,1,6
5444141-21667900-28,5444141,21667900,Quarry,1,6
5444142-21667900-28,5444142,21667900,Quarry,1,7
5444142-21667900-19,5444142,21667900,Quarry,1,7
5444142-21667900-18,5444142,21667900,Quarry,1,7
5465989-21667900-19,5465989,21667900,Erased,1,2
5465991-21667900-28,5465991,21667900,Erased,1,4
5465991-21667900-30,5465991,21667900,Erased,1,4
5465991-21667900-18,5465991,21667900,Erased,1,4
5465991-21667900-34,5465991,21667900,Erased,1,4
5465991-21667900-16,5465991,21667900,Erased,1,4
5465991-21667900-15,5465991,21667900,Erased,1,4
5465993-21667900-14,5465993,21667900,Erased,1,6
5465993-21667900-15,5465993,21667900,Erased,1,6
5465993-21667900-38,5465993,21667900,Erased,1,6
5465993-21667900-28,5465993,21667900,Erased,1,6
5465993-21667900-30,5465993,21667900,Erased,1,6
5465993-21667900-19,5465993,21667900,Erased,1,6
5465993-21667900-18,5465993,21667900,Erased,1,6
5468806-21667900-28,5468806,21667900,Erased,1,7
5468806-21667900-19,5468806,21667900,Erased,1,7
5468806-21667900-14,5468806,21667900,Erased,1,7
5468806-21667900-18,5468806,21667900,Erased,1,7
5468806-21667900-38,5468806,21667900,Erased,1,7
5468807-21667900-19,5468807,21667900,Erased,1,8
5468807-21667900-18,5468807,21667900,Erased,1,8
5468807-21667900-28,5468807,21667900,Erased,1,8
5468811-21667900-19,5468811,21667900,Erased,1,12
5468811-21667900-28,5468811,21667900,Erased,1,12
5468811-21667900-18,5468811,21667900,Erased,1,12
5468811-21667900-15,5468811,21667900,Erased,1,12
5468811-21667900-13,5468811,21667900,Erased,1,12
5468811-21667900-30,5468811,21667900,Erased,1,12
5481550-21667900-25,5481550,21667900,The Night Manager,1,2
5481550-21667900-13,5481550,21667900,The Night Manager,1,2
5481551-21667900-28,5481551,21667900,The Night Manager,1,3
5481551-21667900-24,5481551,21667900,The Night Manager,1,3
5481551-21667900-25,5481551,21667900,The Night Manager,1,3
5481552-21667900-28,5481552,21667900,The Night Manager,1,4
5481552-21667900-24,5481552,21667900,The Night Manager,1,4
5481553-21667900-28,5481553,21667900,The Night Manager,1,5
5481553-21667900-25,5481553,21667900,The Night Manager,1,5
5481553-21667900-24,5481553,21667900,The Night Manager,1,5
5481554-21667900-25,5481554,21667900,The Night Manager,1,6
5481554-21667900-13,5481554,21667900,The Night Manager,1,6
5506131-21667900-28,5506131,21667900,Better Call Saul,2,2
5506131-21667900-33,5506131,21667900,Better Call Saul,2,2
