country_code,region_name,zip_code,updated_at,user_id,country_name,city_name,timezone,ip_address,hits,created_at,latitude,longitude
,,,2020-08-20 12:13:20,21667900,,,,103.238.107.250,3,2020-08-20 05:41:24,,
IN,Gujarat,380007,2020-08-23 09:17:07,21667900,India,Ahmedabad,+05:30,103.238.107.252,12,2020-08-10 06:57:17,23.03,72.59
IN,Gujarat,380002,2020-08-22 12:18:23,21667900,India,Ahmedabad,+05:30,103.238.107.254,12,2020-08-22 02:49:27,23.03,72.62
IN,Gujarat,380001,2021-06-21 16:47:30,21667900,India,Ahmedabad,+05:1800,103.238.107.56,12,2020-10-24 07:26:03,23.03,72.59
,,,2020-09-05 11:20:29,21667900,,,,103.238.107.6,1,2020-09-05 11:20:29,,
IN,Gujarat,380002,2021-06-09 10:44:43,21667900,India,Ahmedabad,+05:30,103.238.107.97,13,2021-06-07 12:31:30,23.03,72.62
,,,2020-11-11 11:03:30,21667900,,,,103.240.169.232,3,2020-11-11 08:14:17,,
,,,2020-11-12 10:04:53,21667900,,,,103.250.145.88,1,2020-11-12 10:04:53,,
IN,Gujarat,380001,2020-11-20 12:57:27,21667900,India,Ahmedabad,+05:1800,103.251.215.32,25,2020-11-14 05:29:38,23.03,72.59
,,,2021-04-01 04:47:40,21667900,,,,103.81.92.133,2,2021-04-01 02:46:42,,
,,,2020-10-04 06:56:28,21667900,,,,103.81.92.159,1,2020-10-04 06:56:28,,
,,,2020-09-29 07:57:05,21667900,,,,103.81.92.164,1,2020-09-29 07:57:05,,
,,,2020-11-10 04:57:14,21667900,,,,103.81.92.165,2,2020-11-09 06:27:34,,
,,,2020-08-06 13:28:40,21667900,,,,103.81.92.170,4,2020-08-05 16:24:00,,
,,,2020-09-17 12:04:24,21667900,,,,103.81.92.252,1,2020-09-17 12:04:24,,
,,,2021-06-11 10:07:00,21667900,,,,103.81.92.27,2,2021-06-11 07:47:21,,
IN,Gujarat,380008,2021-12-06 12:45:35,21667900,India,Ahmedabad,+05:1800,103.81.92.31,8,2021-12-04 09:27:28,23.03,72.59
,,,2021-01-01 03:41:29,21667900,,,,103.81.92.35,2,2020-12-31 09:11:10,,
,,,2020-08-10 05:24:13,21667900,,,,103.81.92.44,1,2020-08-10 05:24:13,,
,,,2020-08-08 03:26:29,21667900,,,,103.81.92.58,1,2020-08-08 03:26:29,,
,,,2020-08-21 07:09:48,21667900,,,,103.81.92.72,3,2020-08-21 06:45:14,,
,,,2020-09-25 12:32:09,21667900,,,,103.81.92.74,1,2020-09-25 12:32:09,,
,,,2021-01-25 10:54:32,21667900,,,,103.81.92.92,1,2021-01-25 10:54:32,,
,,,2020-09-18 11:11:01,21667900,,,,103.81.93.154,3,2020-09-17 16:43:47,,
,,,2021-11-16 11:26:33,21667900,,,,103.81.93.162,3,2021-11-16 05:54:17,,
,,,2020-10-19 10:46:58,21667900,,,,103.81.93.165,1,2020-10-19 10:46:58,,
,,,2020-10-07 08:51:51,21667900,,,,103.81.93.178,1,2020-10-07 08:51:51,,
,,,2020-09-14 10:46:07,21667900,,,,103.81.93.201,4,2020-09-13 16:27:56,,
,,,2021-11-18 02:35:27,21667900,,,,103.81.93.209,1,2021-11-18 02:35:27,,
IN,Gujarat,380004,2021-02-09 12:56:15,21667900,India,Ahmedabad,+05:30,103.81.93.252,10,2021-02-06 12:52:53,23.03,72.62
,,,2020-08-18 08:16:16,21667900,,,,103.81.93.255,1,2020-08-18 08:16:16,,
,,,2021-08-19 09:22:15,21667900,,,,103.81.93.59,1,2021-08-19 09:22:15,,
,,,2021-06-22 18:16:54,21667900,,,,103.81.93.69,2,2021-06-22 13:50:52,,
IN,Gujarat,382350,2021-09-14 08:16:34,21667900,India,Ahmedabad,+05:1800,103.81.93.83,9,2021-09-08 11:17:09,23.03,72.59
,,,2020-10-05 12:51:37,21667900,,,,103.81.93.98,1,2020-10-05 12:51:37,,
,,,2020-08-04 06:48:59,21667900,,,,103.81.94.109,1,2020-08-04 06:48:59,,
,,,2021-02-22 13:22:19,21667900,,,,103.81.94.112,1,2021-02-22 13:22:19,,
,,,2021-01-20 06:35:55,21667900,,,,103.81.94.116,2,2021-01-19 11:33:39,,
,,,2021-02-18 12:44:12,21667900,,,,103.81.94.12,2,2021-02-17 09:21:20,,
IN,Gujarat,380007,2021-07-30 16:56:11,21667900,India,Ahmedabad,+05:30,103.81.94.13,5,2021-07-25 11:02:59,23.03,72.59
IN,Gujarat,380007,2020-08-25 07:58:41,21667900,India,Ahmedabad,+05:30,103.81.94.156,5,2020-08-24 16:06:19,23.04,72.62
,,,2020-12-01 10:52:14,21667900,,,,103.81.94.178,3,2020-12-01 10:02:34,,
,,,2020-12-06 11:59:46,21667900,,,,103.81.94.181,1,2020-12-06 11:59:46,,
,,,2021-01-05 03:23:57,21667900,,,,103.81.94.191,1,2021-01-05 03:23:57,,
,,,2021-09-30 16:32:06,21667900,,,,103.81.94.249,3,2021-09-26 17:22:57,,
,,,2020-07-30 13:32:53,21667900,,,,103.81.94.251,1,2020-07-30 13:32:53,,
,,,2021-10-17 17:15:31,21667900,,,,103.81.94.253,1,2021-10-17 17:15:31,,
,,,2021-04-13 02:53:39,21667900,,,,103.81.94.66,2,2021-04-11 16:38:19,,
,,,2020-10-20 10:52:22,21667900,,,,103.81.94.71,2,2020-10-20 01:56:12,,
,,,2021-04-08 15:48:27,21667900,,,,103.81.94.9,1,2021-04-08 15:48:27,,
,,,2020-11-23 05:55:51,21667900,,,,103.81.94.92,4,2020-11-22 02:57:27,,
,,,2021-04-05 05:19:53,21667900,,,,103.81.94.94,2,2021-04-05 05:19:45,,
,,,2021-10-06 16:14:17,21667900,,,,103.81.94.99,1,2021-10-06 16:14:17,,
,,,2020-12-09 17:02:54,21667900,,,,103.85.10.104,2,2020-12-09 03:44:48,,
,,,2021-04-25 05:55:01,21667900,,,,103.85.10.108,1,2021-04-25 05:55:01,,
,,,2021-10-05 10:57:48,21667900,,,,103.85.10.221,2,2021-10-01 18:20:23,,
,,,2020-10-14 09:26:38,21667900,,,,103.85.10.245,2,2020-10-14 06:38:37,,
,,,2020-08-30 16:08:00,21667900,,,,103.85.10.252,1,2020-08-30 16:08:00,,
,,,2020-09-19 10:07:06,21667900,,,,103.85.10.255,3,2020-09-19 06:31:08,,
,,,2020-09-13 08:17:44,21667900,,,,103.85.10.35,1,2020-09-13 08:17:44,,
,,,2021-11-01 07:35:57,21667900,,,,103.85.10.50,1,2021-11-01 07:35:57,,
,,,2020-08-17 09:21:37,21667900,,,,103.85.10.75,4,2020-08-17 02:49:42,,
IN,Gujarat,380007,2020-11-04 17:16:28,21667900,India,Ahmedabad,+05:30,103.85.11.111,8,2020-11-03 08:43:59,23.03,72.62
,,,2021-11-25 12:44:14,21667900,,,,103.85.11.118,1,2021-11-25 12:44:14,,
IN,Gujarat,380008,2021-05-15 06:50:44,21667900,India,Ahmedabad,+05:1800,103.85.11.126,7,2021-05-13 02:07:02,23.03,72.59
,,,2020-09-09 12:47:25,21667900,,,,103.85.11.141,2,2020-09-08 17:00:28,,
,,,2021-05-08 16:33:58,21667900,,,,103.85.11.144,1,2021-05-08 16:33:58,,
,,,2021-06-30 16:14:36,21667900,,,,103.85.11.170,2,2021-06-30 15:21:40,,
,,,2021-03-14 03:01:52,21667900,,,,103.85.11.176,1,2021-03-14 03:01:52,,
,,,2021-07-14 08:31:46,21667900,,,,103.85.11.193,3,2021-07-12 17:47:03,,
,,,2020-09-15 09:41:31,21667900,,,,103.85.11.206,3,2020-09-14 16:56:54,,
,,,2021-04-29 02:46:41,21667900,,,,103.85.11.208,1,2021-04-29 02:46:41,,
IN,Gujarat,380007,2021-03-03 16:15:33,21667900,India,Ahmedabad,+05:30,103.85.11.219,5,2021-03-02 04:53:59,23.03,72.59
,,,2020-09-27 06:26:54,21667900,,,,103.85.11.239,2,2020-09-27 02:57:34,,
IN,Gujarat,380008,2020-08-24 08:25:32,21667900,India,Ahmedabad,+05:1800,103.85.11.243,5,2020-08-23 16:46:24,23.03,72.59
,,,2020-08-15 10:04:27,21667900,,,,103.85.11.249,3,2020-08-15 02:45:07,,
,,,2021-11-23 16:35:34,21667900,,,,103.85.11.37,2,2021-11-23 16:31:52,,
,,,2021-02-03 07:52:01,21667900,,,,103.85.11.59,2,2021-02-03 05:09:32,,
IN,Gujarat,380007,2020-11-06 10:16:14,21667900,India,Ahmedabad,+05:30,103.85.11.69,5,2020-11-05 10:12:40,23.03,72.59
,,,2020-12-12 13:19:30,21667900,,,,103.85.8.1,1,2020-12-12 13:19:30,,
,,,2020-10-27 09:22:21,21667900,,,,103.85.8.10,3,2020-08-01 04:35:03,,
