episode_id,updated_at,episode_season_number,episode_number,user_id,show_character_id,created_at,fb_action_id,tv_show_name
4808530,2019-08-06 16:17:29,1,4,21667900,63319789,2019-08-06 16:17:29,,Fargo
4808531,2019-08-06 16:18:07,1,5,21667900,63319789,2019-08-06 16:18:07,,Fargo
4808533,2019-08-07 05:02:54,1,6,21667900,63319780,2019-08-07 05:02:51,,Fargo
4808534,2019-08-07 10:33:03,1,7,21667900,63319780,2019-08-07 10:33:01,,Fargo
4808535,2019-08-07 16:04:45,1,8,21667900,63319780,2019-08-07 16:04:45,,Fargo
4808536,2019-08-07 16:05:06,1,9,21667900,63319789,2019-08-07 16:05:02,,Fargo
4808538,2019-08-08 05:53:40,1,10,21667900,63319791,2019-08-08 05:53:40,,Fargo
4823565,2019-06-12 12:11:25,1,1,21667900,63512691,2019-06-12 12:11:22,,Olive Kitteridge
4823566,2019-06-12 13:28:53,1,2,21667900,63512690,2019-06-12 13:28:53,,Olive Kitteridge
4823567,2019-06-13 13:56:52,1,3,21667900,63512691,2019-06-13 13:56:52,,Olive Kitteridge
4823568,2019-06-14 02:16:59,1,4,21667900,63512690,2019-06-14 02:16:59,,Olive Kitteridge
4825726,2020-08-27 03:10:13,1,1,21667900,66805531,2020-08-27 03:10:13,,Blue Spring Ride
4853144,2018-12-23 11:37:17,1,1,21667900,64577222,2018-12-23 11:37:17,,Poldark (2015)
4853145,2018-12-23 13:05:58,1,2,21667900,64577222,2018-12-23 13:05:58,,Poldark (2015)
4853146,2018-12-23 16:31:23,1,3,21667900,64577227,2018-12-23 16:31:23,,Poldark (2015)
4853147,2018-12-24 05:57:25,1,4,21667900,64577227,2018-12-24 05:57:25,,Poldark (2015)
4853148,2018-12-24 09:09:54,1,5,21667900,64577222,2018-12-24 09:09:54,,Poldark (2015)
4853149,2018-12-24 10:34:38,1,6,21667900,64577222,2018-12-24 10:34:38,,Poldark (2015)
4853150,2018-12-24 13:33:58,1,7,21667900,64577222,2018-12-24 13:33:58,,Poldark (2015)
4853151,2018-12-24 16:21:42,1,8,21667900,64577227,2018-12-24 16:21:42,,Poldark (2015)
4854796,2019-01-08 16:32:54,1,2,21667900,63359249,2019-01-08 16:32:54,,The Leftovers
4854797,2019-01-09 16:23:38,1,3,21667900,63359258,2019-01-09 16:23:38,,The Leftovers
4854799,2021-11-09 06:23:57,1,5,21667900,63359249,2021-11-09 06:23:57,,The Leftovers
4866622,2019-07-10 11:21:45,1,1,21667900,63639853,2019-07-10 11:21:45,,The Knick
4929224,2021-11-09 12:57:27,1,10,21667900,63359249,2021-11-09 12:57:27,,The Leftovers
4930433,2019-07-11 10:51:32,1,2,21667900,63639897,2019-07-11 10:51:30,,The Knick
4930434,2019-07-12 10:35:52,1,3,21667900,63639897,2019-07-12 10:35:50,,The Knick
4930435,2019-07-12 10:36:40,1,4,21667900,63639897,2019-07-12 10:36:36,,The Knick
4930436,2019-07-12 10:37:09,1,5,21667900,63639853,2019-07-12 10:37:09,,The Knick
4930437,2019-07-12 11:51:28,1,6,21667900,63639897,2019-07-12 11:51:28,,The Knick
