series_name,season_number,episode_number,user_id,episode_id,vote_key
Making a Murderer,1,2,21667900,5434009,5434009-21667900-3
Quarry,1,2,21667900,5444137,5444137-21667900-3
Quarry,1,3,21667900,5444138,5444138-21667900-3
Quarry,1,4,21667900,5444139,5444139-21667900-3
Quarry,1,5,21667900,5444140,5444140-21667900-3
Quarry,1,6,21667900,5444141,5444141-21667900-3
Quarry,1,7,21667900,5444142,5444142-21667900-3
Erased,1,2,21667900,5465989,5465989-21667900-3
Erased,1,4,21667900,5465991,5465991-21667900-3
Erased,1,6,21667900,5465993,5465993-21667900-3
Erased,1,7,21667900,5468806,5468806-21667900-3
Erased,1,8,21667900,5468807,5468807-21667900-3
Erased,1,12,21667900,5468811,5468811-21667900-3
The Night Manager,1,2,21667900,5481550,5481550-21667900-3
The Night Manager,1,3,21667900,5481551,5481551-21667900-29
The Night Manager,1,4,21667900,5481552,5481552-21667900-3
The Night Manager,1,5,21667900,5481553,5481553-21667900-3
The Night Manager,1,6,21667900,5481554,5481554-21667900-3
Better Call Saul,2,2,21667900,5506131,5506131-21667900-3
Better Call Saul,2,3,21667900,5506132,5506132-21667900-29
Better Call Saul,2,5,21667900,5537897,5537897-21667900-3
Better Call Saul,2,6,21667900,5538565,5538565-21667900-29
The Story of God with Morgan Freeman,1,1,21667900,5541668,5541668-21667900-3
The Story of God with Morgan Freeman,1,1,21667900,5541668,5541668-21667900-5
Better Call Saul,2,7,21667900,5551774,5551774-21667900-3
The Story of God with Morgan Freeman,1,2,21667900,5563916,5563916-21667900-5
The Man in the High Castle,2,1,21667900,5577096,5577096-21667900-19
The Night Of,1,1,21667900,5586358,5586358-21667900-3
The Leftovers,3,1,21667900,5606328,5606328-21667900-29
The Good Place,1,1,21667900,5648788,5648788-21667900-29
The Good Place,1,1,21667900,5648788,5648788-21667900-5
The Night Of,1,2,21667900,5648842,5648842-21667900-3
The Night Of,1,3,21667900,5648843,5648843-21667900-3
The Night Of,1,4,21667900,5648844,5648844-21667900-3
The Good Place,1,2,21667900,5649281,5649281-21667900-5
The Good Place,1,2,21667900,5649281,5649281-21667900-29
The Good Place,1,3,21667900,5649282,5649282-21667900-3
The Night Of,1,5,21667900,5657622,5657622-21667900-3
The Night Of,1,6,21667900,5657623,5657623-21667900-3
The Night Of,1,6,21667900,5657623,5657623-21667900-29
The Night Of,1,7,21667900,5657624,5657624-21667900-3
The Night Of,1,8,21667900,5657625,5657625-21667900-3
Poldark (2015),2,1,21667900,5671265,5671265-21667900-20
Black Mirror,3,1,21667900,5692427,5692427-21667900-3
Black Mirror,3,2,21667900,5692430,5692430-21667900-3
The Man in the High Castle,2,2,21667900,5722830,5722830-21667900-20
The Man in the High Castle,2,3,21667900,5722831,5722831-21667900-19
The Man in the High Castle,2,5,21667900,5722833,5722833-21667900-20
The Man in the High Castle,2,7,21667900,5722835,5722835-21667900-20
The Man in the High Castle,2,8,21667900,5722836,5722836-21667900-20
The Man in the High Castle,2,9,21667900,5722837,5722837-21667900-20
The Man in the High Castle,2,10,21667900,5722838,5722838-21667900-20
The Good Place,1,4,21667900,5738213,5738213-21667900-29
The Good Place,1,4,21667900,5738213,5738213-21667900-3
The Good Place,1,4,21667900,5738213,5738213-21667900-5
The Good Place,1,5,21667900,5738214,5738214-21667900-5
The Good Place,1,5,21667900,5738214,5738214-21667900-29
Poldark (2015),2,2,21667900,5738937,5738937-21667900-20
Poldark (2015),2,3,21667900,5738938,5738938-21667900-19
Poldark (2015),2,4,21667900,5738939,5738939-21667900-20
Poldark (2015),2,5,21667900,5738940,5738940-21667900-20
Poldark (2015),2,6,21667900,5738941,5738941-21667900-19
Poldark (2015),2,7,21667900,5738942,5738942-21667900-20
Poldark (2015),2,8,21667900,5738943,5738943-21667900-20
Poldark (2015),2,9,21667900,5738944,5738944-21667900-20
The Good Place,1,6,21667900,5745518,5745518-21667900-29
The Good Place,1,6,21667900,5745518,5745518-21667900-5
The Good Place,1,7,21667900,5745521,5745521-21667900-29
The Good Place,1,7,21667900,5745521,5745521-21667900-5
The Good Place,1,8,21667900,5745523,5745523-21667900-29
The Good Place,1,8,21667900,5745523,5745523-21667900-5
The Good Place,1,9,21667900,5745525,5745525-21667900-5
The Good Place,1,9,21667900,5745525,5745525-21667900-29
The Fall,3,3,21667900,5755261,5755261-21667900-3
The Fall,3,4,21667900,5755262,5755262-21667900-3
Beyond,1,1,21667900,5782727,5782727-21667900-4
Beyond,1,1,21667900,5782727,5782727-21667900-28
Beyond,1,2,21667900,5782728,5782728-21667900-5
Beyond,1,3,21667900,5782729,5782729-21667900-29
Beyond,1,3,21667900,5782729,5782729-21667900-5
Beyond,1,4,21667900,5782730,5782730-21667900-5
Beyond,1,4,21667900,5782730,5782730-21667900-29
Beyond,1,5,21667900,5782731,5782731-21667900-4
Beyond,1,5,21667900,5782731,5782731-21667900-28
The Good Place,1,10,21667900,5818942,5818942-21667900-29
The Good Place,1,10,21667900,5818942,5818942-21667900-5
Scum's Wish,1,1,21667900,5845667,5845667-21667900-29
The Good Place,1,11,21667900,5855690,5855690-21667900-29
The Good Place,1,11,21667900,5855690,5855690-21667900-5
The Good Place,1,12,21667900,5904846,5904846-21667900-3
The Good Place,1,12,21667900,5904846,5904846-21667900-5
The Good Place,1,12,21667900,5904846,5904846-21667900-29
The Good Place,1,13,21667900,5904847,5904847-21667900-3
Scum's Wish,1,2,21667900,5906286,5906286-21667900-3
Scum's Wish,1,3,21667900,5906287,5906287-21667900-3
Scum's Wish,1,4,21667900,5906288,5906288-21667900-3
House of Cards (US),5,2,21667900,5937312,5937312-21667900-29
House of Cards (US),5,2,21667900,5937312,5937312-21667900-5
Babylon Berlin,1,1,21667900,5964888,5964888-21667900-29
Babylon Berlin,1,1,21667900,5964888,5964888-21667900-5
Poldark (2015),3,1,21667900,5966086,5966086-21667900-19
The Leftovers,3,5,21667900,5972910,5972910-21667900-3
Better Call Saul,3,2,21667900,6023980,6023980-21667900-3
Better Call Saul,3,5,21667900,6023992,6023992-21667900-3
Better Call Saul,3,9,21667900,6024003,6024003-21667900-3
Better Call Saul,3,10,21667900,6024007,6024007-21667900-3
The Leftovers,3,8,21667900,6049877,6049877-21667900-3
Money Heist,1,1,21667900,6056377,6056377-21667900-20
Money Heist,1,6,21667900,6073203,6073203-21667900-20
