updated_at,time,user_id,quiz_question_id,quiz_question_answer_id,score,created_at
2018-07-24 13:26:48,0.64,21667900,1391,5558,0,2018-07-24 13:26:48
2018-06-29 04:53:48,1.52,21667900,1897,7583,393,2018-06-29 04:53:48
2018-06-29 04:53:56,1.20,21667900,1898,7585,405,2018-06-29 04:53:56
2018-06-29 04:54:04,2.09,21667900,1899,7592,374,2018-06-29 04:54:04
2018-06-29 04:54:13,1.31,21667900,1900,7595,0,2018-06-29 04:54:13
2018-06-29 04:54:21,1.26,21667900,1901,7600,402,2018-06-29 04:54:21
2018-06-29 04:54:30,0.88,21667900,1902,7601,0,2018-06-29 04:54:30
2018-06-29 04:54:41,0.64,21667900,1903,7606,0,2018-06-29 04:54:41
2018-06-29 04:54:51,2.42,21667900,1904,7609,365,2018-06-29 04:54:51
2018-06-29 04:54:59,1.45,21667900,1905,7614,0,2018-06-29 04:54:59
